sourceId,sourceType,destinationId,destinationType,action,timestamp,processName
10.1.80.1:40159,socket,/usr/bin/fwatchdog,process,read,1727660058651520,unknown
10.1.80.1:40158,socket,/usr/bin/fwatchdog,process,read,1727660058651537,unknown
/usr/bin/fwatchdog,process,10.1.80.1:40158,socket,write,1727660058651658,unknown
/usr/bin/fwatchdog,process,10.1.80.1:40159,socket,write,1727660058651943,unknown
10.1.80.1:41714,socket,/usr/bin/fwatchdog,process,read,1727660058789734,unknown
/usr/bin/fwatchdog,process,10.1.80.1:41714,socket,write,1727660058789875,unknown
10.1.80.1:41716,socket,/usr/bin/fwatchdog,process,read,1727660058789947,unknown
/usr/bin/fwatchdog,process,10.1.80.1:41716,socket,write,1727660058791640,unknown
