sourceId,sourceType,destinationId,destinationType,action,timestamp,processName
10.1.80.1:40893,socket,unknown,process,GET,1727688802790072,
10.1.80.1:40892,socket,unknown,process,GET,1727688802790299,
unknwon,process,10.1.80.1:40893,socket,RESPONSE,1727688802790958,
unknwon,process,10.1.80.1:40892,socket,RESPONSE,1727688802791084,
10.1.80.1:57662,socket,unknown,process,GET,1727688804388470,
unknwon,process,10.1.80.1:57662,socket,RESPONSE,1727688804388654,
10.1.80.1:57663,socket,unknown,process,GET,1727688804388746,
