sourceId,sourceType,destinationId,destinationType,action,timestamp,processName
10.1.80.1:38728,socket,/usr/bin/fwatchdog,process,read,1727659888561202,unknown
/usr/bin/fwatchdog,process,10.1.80.1:38729,socket,write,1727659888561895,unknown
/usr/bin/fwatchdog,process,10.1.80.1:38728,socket,write,1727659888561927,unknown
10.1.80.1:37661,socket,/usr/bin/fwatchdog,process,read,1727659888651732,unknown
10.1.80.1:37660,socket,/usr/bin/fwatchdog,process,read,1727659888651750,unknown
/usr/bin/fwatchdog,process,10.1.80.1:37660,socket,write,1727659888651903,unknown
/usr/bin/fwatchdog,process,10.1.80.1:37661,socket,write,1727659888652303,unknown
