sourceId,sourceType,destinationId,destinationType,action,timestamp,processName
10.1.80.1:52956,socket,unknown,process,GET,1727688478393795,
10.1.80.1:52958,socket,unknown,process,GET,1727688478393989,
unknwon,process,10.1.80.1:52958,socket,RESPONSE,1727688478394413,
unknwon,process,10.1.80.1:52956,socket,RESPONSE,1727688478394543,
10.1.80.1:35728,socket,unknown,process,GET,1727688478561950,
10.1.80.1:35726,socket,unknown,process,GET,1727688478562138,
