sourceId,sourceType,destinationId,destinationType,action,timestamp,processName
10.1.80.1:41200,socket,unknown,process,GET,1727688856561410,
unknwon,process,10.1.80.1:41200,socket,RESPONSE,1727688856561555,
10.1.80.1:40132,socket,unknown,process,GET,1727688856650835,
unknwon,process,10.1.80.1:40132,socket,RESPONSE,1727688856651245,
10.1.80.1:40133,socket,unknown,process,GET,1727688856651389,
unknwon,process,10.1.80.1:40133,socket,RESPONSE,1727688856651674,
10.1.80.1:41690,socket,unknown,process,GET,1727688856789655,
