sourceId,sourceType,destinationId,destinationType,action,timestamp,processName
10.1.80.1:58457,socket,/usr/bin/fwatchdog,process,read,1727660058388815,unknown
10.1.80.1:58456,socket,/usr/bin/fwatchdog,process,read,1727660058388891,unknown
/usr/bin/fwatchdog,process,10.1.80.1:58457,socket,write,1727660058388956,unknown
/usr/bin/fwatchdog,process,10.1.80.1:58456,socket,write,1727660058389636,unknown
10.1.80.1:41226,socket,/usr/bin/fwatchdog,process,read,1727660058561368,unknown
/usr/bin/fwatchdog,process,10.1.80.1:41226,socket,write,1727660058561498,unknown
10.1.80.1:41227,socket,/usr/bin/fwatchdog,process,read,1727660058561782,unknown
/usr/bin/fwatchdog,process,10.1.80.1:41227,socket,write,1727660058561862,unknown
