sourceId,sourceType,destinationId,destinationType,action,timestamp,processName
10.1.80.1:39332,socket,/usr/bin/fwatchdog,process,read,1727660002651263,unknown
10.1.80.1:39334,socket,/usr/bin/fwatchdog,process,read,1727660002651462,unknown
/usr/bin/fwatchdog,process,10.1.80.1:39332,socket,write,1727660002651817,unknown
/usr/bin/fwatchdog,process,10.1.80.1:39334,socket,write,1727660002651947,unknown
10.1.80.1:40893,socket,/usr/bin/fwatchdog,process,read,1727660002790547,unknown
/usr/bin/fwatchdog,process,10.1.80.1:40893,socket,write,1727660002790696,unknown
10.1.80.1:40892,socket,/usr/bin/fwatchdog,process,read,1727660002790760,unknown
/usr/bin/fwatchdog,process,10.1.80.1:40892,socket,write,1727660002790847,unknown
