sourceId,sourceType,destinationId,destinationType,action,timestamp,processName
10.1.80.1:38596,socket,/usr/bin/fwatchdog,process,read,1727659952654321,unknown
10.1.80.1:38598,socket,/usr/bin/fwatchdog,process,read,1727659952659389,unknown
/usr/bin/fwatchdog,process,10.1.80.1:38598,socket,write,1727659952659570,unknown
/usr/bin/fwatchdog,process,10.1.80.1:38596,socket,write,1727659952662699,unknown
10.1.80.1:40156,socket,/usr/bin/fwatchdog,process,read,1727659952789133,unknown
10.1.80.1:40157,socket,/usr/bin/fwatchdog,process,read,1727659952789151,unknown
/usr/bin/fwatchdog,process,10.1.80.1:40157,socket,write,1727659952789301,unknown
/usr/bin/fwatchdog,process,10.1.80.1:40156,socket,write,1727659952789826,unknown
