sourceId,sourceType,destinationId,destinationType,action,timestamp,processName
unknwon,process,10.1.80.1:58404,socket,RESPONSE,1727688854389887,
10.1.80.1:41176,socket,unknown,process,GET,1727688854561344,
10.1.80.1:41178,socket,unknown,process,GET,1727688854561553,
unknwon,process,10.1.80.1:41178,socket,RESPONSE,1727688854561643,
unknwon,process,10.1.80.1:41176,socket,RESPONSE,1727688854561707,
10.1.80.1:40108,socket,unknown,process,GET,1727688854651616,
10.1.80.1:40109,socket,unknown,process,GET,1727688854651876,
