sourceId,sourceType,destinationId,destinationType,action,timestamp,processName
10.1.80.1:56840,socket,/usr/bin/fwatchdog,process,read,1727659948388881,unknown
10.1.80.1:56841,socket,/usr/bin/fwatchdog,process,read,1727659948388900,unknown
/usr/bin/fwatchdog,process,10.1.80.1:56841,socket,write,1727659948389091,unknown
/usr/bin/fwatchdog,process,10.1.80.1:56840,socket,write,1727659948389791,unknown
10.1.80.1:39611,socket,/usr/bin/fwatchdog,process,read,1727659948561690,unknown
10.1.80.1:39610,socket,/usr/bin/fwatchdog,process,read,1727659948561711,unknown
/usr/bin/fwatchdog,process,10.1.80.1:39610,socket,write,1727659948561857,unknown
/usr/bin/fwatchdog,process,10.1.80.1:39611,socket,write,1727659948562154,unknown
