sourceId,sourceType,destinationId,destinationType,action,timestamp,processName
10.1.80.1:38702,socket,unknown,process,GET,1727688686562143,
unknwon,process,10.1.80.1:38702,socket,RESPONSE,1727688686562211,
10.1.80.1:37634,socket,unknown,process,GET,1727688686651276,
unknwon,process,10.1.80.1:37634,socket,RESPONSE,1727688686651519,
10.1.80.1:37635,socket,unknown,process,GET,1727688686651825,
unknwon,process,10.1.80.1:37635,socket,RESPONSE,1727688686652007,
10.1.80.1:39191,socket,unknown,process,GET,1727688686789548,
