sourceId,sourceType,destinationId,destinationType,action,timestamp,processName
10.1.80.1:36256,socket,/usr/bin/fwatchdog,process,read,1727659790651229,unknown
10.1.80.1:36254,socket,/usr/bin/fwatchdog,process,read,1727659790651232,unknown
/usr/bin/fwatchdog,process,10.1.80.1:36256,socket,write,1727659790651578,unknown
/usr/bin/fwatchdog,process,10.1.80.1:36254,socket,write,1727659790651807,unknown
10.1.80.1:37810,socket,/usr/bin/fwatchdog,process,read,1727659790791560,unknown
10.1.80.1:37812,socket,/usr/bin/fwatchdog,process,read,1727659790791786,unknown
/usr/bin/fwatchdog,process,10.1.80.1:37812,socket,write,1727659790791997,unknown
/usr/bin/fwatchdog,process,10.1.80.1:37810,socket,write,1727659790792177,unknown
