sourceId,sourceType,destinationId,destinationType,action,timestamp,processName
10.1.80.1:40948,socket,unknown,process,GET,1727688806789876,
unknwon,process,10.1.80.1:40948,socket,RESPONSE,1727688806789946,
10.1.80.1:57718,socket,unknown,process,GET,1727688808388750,
unknwon,process,10.1.80.1:57718,socket,RESPONSE,1727688808388947,
10.1.80.1:57716,socket,unknown,process,GET,1727688808389073,
unknwon,process,10.1.80.1:57716,socket,RESPONSE,1727688808389153,
10.1.80.1:40486,socket,unknown,process,GET,1727688808561033,
