sourceId,sourceType,destinationId,destinationType,action,timestamp,processName
unknwon,process,10.1.80.1:38644,socket,RESPONSE,1727688682562164,
unknwon,process,10.1.80.1:38642,socket,RESPONSE,1727688682562235,
10.1.80.1:37576,socket,unknown,process,GET,1727688682651909,
unknwon,process,10.1.80.1:37576,socket,RESPONSE,1727688682652413,
10.1.80.1:37574,socket,unknown,process,GET,1727688682652611,
unknwon,process,10.1.80.1:37574,socket,RESPONSE,1727688682652745,
10.1.80.1:39135,socket,unknown,process,GET,1727688682789402,
