sourceId,sourceType,destinationId,destinationType,action,timestamp,processName
10.1.80.1:34717,socket,/usr/bin/fwatchdog,process,read,1727659682651636,unknown
/usr/bin/fwatchdog,process,10.1.80.1:34717,socket,write,1727659682651777,unknown
10.1.80.1:34716,socket,/usr/bin/fwatchdog,process,read,1727659682651835,unknown
/usr/bin/fwatchdog,process,10.1.80.1:34716,socket,write,1727659682652559,unknown
10.1.80.1:36277,socket,/usr/bin/fwatchdog,process,read,1727659682789547,unknown
/usr/bin/fwatchdog,process,10.1.80.1:36277,socket,write,1727659682789675,unknown
10.1.80.1:36276,socket,/usr/bin/fwatchdog,process,read,1727659682789812,unknown
/usr/bin/fwatchdog,process,10.1.80.1:36276,socket,write,1727659682789915,unknown
