sourceId,sourceType,destinationId,destinationType,action,timestamp,processName
10.1.80.1:38544,socket,/usr/bin/fwatchdog,process,read,1727659948650817,unknown
/usr/bin/fwatchdog,process,10.1.80.1:38544,socket,write,1727659948650980,unknown
10.1.80.1:38542,socket,/usr/bin/fwatchdog,process,read,1727659948651292,unknown
/usr/bin/fwatchdog,process,10.1.80.1:38542,socket,write,1727659948651392,unknown
10.1.80.1:40100,socket,/usr/bin/fwatchdog,process,read,1727659948789794,unknown
10.1.80.1:40098,socket,/usr/bin/fwatchdog,process,read,1727659948789807,unknown
/usr/bin/fwatchdog,process,10.1.80.1:40100,socket,write,1727659948790205,unknown
/usr/bin/fwatchdog,process,10.1.80.1:40098,socket,write,1727659948790307,unknown
