sourceId,sourceType,destinationId,destinationType,action,timestamp,processName
10.1.80.1:54550,socket,/usr/bin/fwatchdog,process,read,1727659790389004,unknown
10.1.80.1:54551,socket,/usr/bin/fwatchdog,process,read,1727659790389025,unknown
/usr/bin/fwatchdog,process,10.1.80.1:54551,socket,write,1727659790389239,unknown
/usr/bin/fwatchdog,process,10.1.80.1:54550,socket,write,1727659790389682,unknown
10.1.80.1:37320,socket,/usr/bin/fwatchdog,process,read,1727659790561787,unknown
/usr/bin/fwatchdog,process,10.1.80.1:37320,socket,write,1727659790561974,unknown
10.1.80.1:37321,socket,/usr/bin/fwatchdog,process,read,1727659790562039,unknown
/usr/bin/fwatchdog,process,10.1.80.1:37321,socket,write,1727659790562400,unknown
