sourceId,sourceType,destinationId,destinationType,action,timestamp,processName
10.1.80.1:52988,socket,/usr/bin/fwatchdog,process,read,1727659680388670,unknown
10.1.80.1:52989,socket,/usr/bin/fwatchdog,process,read,1727659680388692,unknown
/usr/bin/fwatchdog,process,10.1.80.1:52989,socket,write,1727659680388908,unknown
/usr/bin/fwatchdog,process,10.1.80.1:52988,socket,write,1727659680389293,unknown
10.1.80.1:35762,socket,/usr/bin/fwatchdog,process,read,1727659680561893,unknown
/usr/bin/fwatchdog,process,10.1.80.1:35762,socket,write,1727659680562052,unknown
10.1.80.1:35760,socket,/usr/bin/fwatchdog,process,read,1727659680562117,unknown
/usr/bin/fwatchdog,process,10.1.80.1:35760,socket,write,1727659680562194,unknown
