sourceId,sourceType,destinationId,destinationType,action,timestamp,processName
10.1.80.1:40132,socket,/usr/bin/fwatchdog,process,read,1727660056650660,unknown
10.1.80.1:40133,socket,/usr/bin/fwatchdog,process,read,1727660056650680,unknown
/usr/bin/fwatchdog,process,10.1.80.1:40132,socket,write,1727660056651199,unknown
/usr/bin/fwatchdog,process,10.1.80.1:40133,socket,write,1727660056651570,unknown
10.1.80.1:41688,socket,/usr/bin/fwatchdog,process,read,1727660056789100,unknown
10.1.80.1:41690,socket,/usr/bin/fwatchdog,process,read,1727660056789102,unknown
/usr/bin/fwatchdog,process,10.1.80.1:41690,socket,write,1727660056794023,unknown
/usr/bin/fwatchdog,process,10.1.80.1:41688,socket,write,1727660056795513,unknown
