sourceId,sourceType,destinationId,destinationType,action,timestamp,processName
10.1.80.1:55872,socket,/usr/bin/fwatchdog,process,read,1727659882388509,unknown
/usr/bin/fwatchdog,process,10.1.80.1:55872,socket,write,1727659882388659,unknown
10.1.80.1:55873,socket,/usr/bin/fwatchdog,process,read,1727659882388718,unknown
/usr/bin/fwatchdog,process,10.1.80.1:55873,socket,write,1727659882389109,unknown
10.1.80.1:38644,socket,/usr/bin/fwatchdog,process,read,1727659882561479,unknown
/usr/bin/fwatchdog,process,10.1.80.1:38644,socket,write,1727659882561632,unknown
10.1.80.1:38642,socket,/usr/bin/fwatchdog,process,read,1727659882561691,unknown
