sourceId,sourceType,destinationId,destinationType,action,timestamp,processName
unknwon,process,10.1.80.1:40461,socket,RESPONSE,1727688806562709,
10.1.80.1:39392,socket,unknown,process,GET,1727688806650809,
unknwon,process,10.1.80.1:39392,socket,RESPONSE,1727688806651682,
10.1.80.1:39394,socket,unknown,process,GET,1727688806651806,
unknwon,process,10.1.80.1:39394,socket,RESPONSE,1727688806651884,
10.1.80.1:40949,socket,unknown,process,GET,1727688806789545,
unknwon,process,10.1.80.1:40949,socket,RESPONSE,1727688806789786,
