['10.1.80.1:56784', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659944388721, 'unknown']
['10.1.80.1:56786', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659944389073, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:56786', 'socket', 'write', 1727659944389519, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:56784', 'socket', 'write', 1727659944389772, 'unknown']
['10.1.80.1:39554', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659944562799, 'unknown']
['10.1.80.1:39556', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659944563399, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:39554', 'socket', 'write', 1727659944571180, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:39556', 'socket', 'write', 1727659944571608, 'unknown']
['10.1.80.1:38486', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659944651530, 'unknown']
['10.1.80.1:38488', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659944652073, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:38488', 'socket', 'write', 1727659944652559, 'unknown']
['10.1.80.1:40042', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659944789694, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:38486', 'socket', 'write', 1727659944652981, 'unknown']
['10.1.80.1:40044', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659944789886, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:40044', 'socket', 'write', 1727659944790299, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:40042', 'socket', 'write', 1727659944790365, 'unknown']
['10.1.80.1:56808', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659946388276, 'unknown']
['10.1.80.1:56809', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659946388261, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:56809', 'socket', 'write', 1727659946388462, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:56808', 'socket', 'write', 1727659946388771, 'unknown']
['10.1.80.1:39578', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659946561180, 'unknown']
['10.1.80.1:39579', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659946561195, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:39579', 'socket', 'write', 1727659946561352, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:39578', 'socket', 'write', 1727659946561640, 'unknown']
['10.1.80.1:38511', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659946651567, 'unknown']
