['10.1.80.1:56808', 'socket', 'unknwon', 'process', 'GET', 1727688746388878, '']
['10.1.80.1:39578', 'socket', 'unknwon', 'process', 'GET', 1727688746561893, '']
['10.1.80.1:56809', 'socket', 'unknwon', 'process', 'GET', 1727688746388424, '']
['unknwon', 'process', '10.1.80.1:39579', 'socket', 'RESPONSE', 1727688746561808, '']
['10.1.80.1:39579', 'socket', 'unknwon', 'process', 'GET', 1727688746561596, '']
['unknwon', 'process', '10.1.80.1:56808', 'socket', 'RESPONSE', 1727688746388951, '']
['unknwon', 'process', '10.1.80.1:39578', 'socket', 'RESPONSE', 1727688746561962, '']
['unknwon', 'process', '10.1.80.1:56809', 'socket', 'RESPONSE', 1727688746388789, '']
['10.1.80.1:38511', 'socket', 'unknwon', 'process', 'GET', 1727688746651703, '']
['unknwon', 'process', '10.1.80.1:38511', 'socket', 'RESPONSE', 1727688746651904, '']
['10.1.80.1:38510', 'socket', 'unknwon', 'process', 'GET', 1727688746652013, '']
['10.1.80.1:40067', 'socket', 'unknwon', 'process', 'GET', 1727688746789644, '']
['unknwon', 'process', '10.1.80.1:38510', 'socket', 'RESPONSE', 1727688746652171, '']
['unknwon', 'process', '10.1.80.1:40067', 'socket', 'RESPONSE', 1727688746789851, '']
['10.1.80.1:40066', 'socket', 'unknwon', 'process', 'GET', 1727688746789938, '']
['unknwon', 'process', '10.1.80.1:40066', 'socket', 'RESPONSE', 1727688746790051, '']
['10.1.80.1:56841', 'socket', 'unknwon', 'process', 'GET', 1727688748388875, '']
['unknwon', 'process', '10.1.80.1:56841', 'socket', 'RESPONSE', 1727688748389321, '']
['10.1.80.1:56840', 'socket', 'unknwon', 'process', 'GET', 1727688748389559, '']
['unknwon', 'process', '10.1.80.1:56840', 'socket', 'RESPONSE', 1727688748389874, '']
['10.1.80.1:39610', 'socket', 'unknwon', 'process', 'GET', 1727688748561863, '']
['unknwon', 'process', '10.1.80.1:39610', 'socket', 'RESPONSE', 1727688748562107, '']
['10.1.80.1:39611', 'socket', 'unknwon', 'process', 'GET', 1727688748562241, '']
['unknwon', 'process', '10.1.80.1:39611', 'socket', 'RESPONSE', 1727688748562355, '']
['10.1.80.1:38544', 'socket', 'unknwon', 'process', 'GET', 1727688748650919, '']
['unknwon', 'process', '10.1.80.1:38544', 'socket', 'RESPONSE', 1727688748651111, '']
['10.1.80.1:38542', 'socket', 'unknwon', 'process', 'GET', 1727688748651272, '']
['unknwon', 'process', '10.1.80.1:38542', 'socket', 'RESPONSE', 1727688748651411, '']
['10.1.80.1:40098', 'socket', 'unknwon', 'process', 'GET', 1727688748790139, '']
['10.1.80.1:40100', 'socket', 'unknwon', 'process', 'GET', 1727688748790324, '']
['unknwon', 'process', '10.1.80.1:40100', 'socket', 'RESPONSE', 1727688748790406, '']
['unknwon', 'process', '10.1.80.1:40098', 'socket', 'RESPONSE', 1727688748790479, '']
['10.1.80.1:56873', 'socket', 'unknwon', 'process', 'GET', 1727688750389037, '']
['unknwon', 'process', '10.1.80.1:56873', 'socket', 'RESPONSE', 1727688750389263, '']
['10.1.80.1:56872', 'socket', 'unknwon', 'process', 'GET', 1727688750389354, '']
['unknwon', 'process', '10.1.80.1:56872', 'socket', 'RESPONSE', 1727688750389434, '']
['10.1.80.1:39642', 'socket', 'unknwon', 'process', 'GET', 1727688750561228, '']
['unknwon', 'process', '10.1.80.1:39642', 'socket', 'RESPONSE', 1727688750561412, '']
['10.1.80.1:39643', 'socket', 'unknwon', 'process', 'GET', 1727688750561668, '']
['unknwon', 'process', '10.1.80.1:39643', 'socket', 'RESPONSE', 1727688750561778, '']
['10.1.80.1:38578', 'socket', 'unknwon', 'process', 'GET', 1727688750651379, '']
['10.1.80.1:38576', 'socket', 'unknwon', 'process', 'GET', 1727688750651661, '']
['unknwon', 'process', '10.1.80.1:38578', 'socket', 'RESPONSE', 1727688750651777, '']
['unknwon', 'process', '10.1.80.1:38576', 'socket', 'RESPONSE', 1727688750651848, '']
['10.1.80.1:40132', 'socket', 'unknwon', 'process', 'GET', 1727688750789165, '']
['unknwon', 'process', '10.1.80.1:40132', 'socket', 'RESPONSE', 1727688750789347, '']
