sourceId,sourceType,destinationId,destinationType,action,timestamp,processName
10.1.80.247:50440,socket,unknown,process,POST,1727687260884334,13feee1c
unknwon,process,gateway:8080,socket,POST,1727687260894652,13feee1c
unknwon,process,10.1.80.247:8080,socket,POST,1727687260894771,13feee1c
10.1.80.247:52142,socket,unknown,process,POST,1727687260896046,13feee1c
unknwon,process,10.1.80.247:52142,socket,RESPONSE,1727687260906248,13feee1c
10.1.80.247:8080,socket,unknown,process,RESPONSE,1727687260907693,13feee1c
gateway:8080,socket,unknown,process,RESPONSE,1727687260907799,13feee1c
unknwon,process,10.1.80.247:50440,socket,RESPONSE,1727687260911981,13feee1c
