sourceId,sourceType,destinationId,destinationType,action,timestamp,processName
10.1.80.247:50546,socket,unknown,process,POST,1727687260843839,7c8017e8
unknwon,process,gateway:8080,socket,POST,1727687260872708,7c8017e8
unknwon,process,10.1.80.247:8080,socket,POST,1727687260872822,7c8017e8
10.1.80.247:52142,socket,unknown,process,POST,1727687260874646,7c8017e8
unknwon,process,10.1.80.247:52142,socket,RESPONSE,1727687260883203,7c8017e8
10.1.80.247:8080,socket,unknown,process,RESPONSE,1727687260884752,7c8017e8
gateway:8080,socket,unknown,process,RESPONSE,1727687260884823,7c8017e8
unknwon,process,10.1.80.247:50546,socket,RESPONSE,1727687260887444,7c8017e8
