sourceId,sourceType,destinationId,destinationType,action,timestamp,processName
10.1.80.247:50440,socket,unknown,process,POST,1727687260739174,806465d8
unknwon,process,gateway:8080,socket,POST,1727687260745770,806465d8
unknwon,process,10.1.80.247:8080,socket,POST,1727687260745902,806465d8
10.1.80.247:52142,socket,unknown,process,POST,1727687260747379,806465d8
unknwon,process,10.1.80.247:52142,socket,RESPONSE,1727687260749944,806465d8
10.1.80.247:8080,socket,unknown,process,RESPONSE,1727687260751559,806465d8
gateway:8080,socket,unknown,process,RESPONSE,1727687260751680,806465d8
unknwon,process,10.1.80.247:50440,socket,RESPONSE,1727687260752886,806465d8
